llm,db,sys,experiment_name,correctness_score,faithfulness_score,latency_ms,retrieval_recall,retrieval_mrr,recall_at_5,precision_at_5,ndcg_at_5,hit_rate_at_5,recall_at_10,precision_at_10,ndcg_at_10,hit_rate_at_10,main_total_tokens,judge_total_tokens,question_count
gpt-4o,openai-large,SysD,SysD_v5_FIXED_openai-large_gpt-4o,0.7,0.889,998.7463164329529,0.75,0.7109375,0.753125,0.165,0.9595227722124843,0.7625,0.759375,0.08375,0.9952034401814591,0.775,1970.19,475.46,100
gpt-4o,openai-small,SysA,SysA_Baseline_openai-small_gpt-4o,0.66,0.846,1116.3155245780945,0.6625,0.5970833333333333,0.621875,0.13,0.8071618621532275,0.625,0.6625,0.07,0.8437047400593434,0.6625,2964.04,509.95,100
gpt-4o,openai-small,SysC,SysC_Hybrid_FIXED_openai-small_gpt-4o,0.638,0.9089,856.1899137496948,0.6375,0.5775,0.6,0.1275,0.7750065850618746,0.6125,0.65,0.07125000000000001,0.8128815946833082,0.6625,1775.69,505.03,100
gpt-4o,openai-small,SysD,SysD_v5_FIXED_openai-small_gpt-4o,0.6890000000000001,0.846,1002.6115393638611,0.725,0.6441666666666667,0.675,0.14250000000000002,0.8720298289011611,0.6875,0.725,0.07875000000000001,0.9099048385225947,0.7375,1945.59,475.94,100
gpt-4o,openai-large,SysG,SysG_v4_GodMode_gpt-4o_openai-large,0.6859999999999999,0.9142,2860.3045511245728,0.7625,0.6832769423558898,0.734375,0.15250000000000002,0.9561765965405989,0.7375,0.76875,0.08125,0.9946384139294864,0.775,1563.89,537.3,100
gpt-4o,openai-small,SysG,SysG_v4_GodMode_gpt-4o_openai-small,0.6579999999999999,0.904,2512.104752063751,0.7625,0.6882121388575193,0.721875,0.15,0.9013631949101913,0.725,0.75,0.07875000000000001,0.9399988190836297,0.75,1561.45,532.07,100
gpt-4o,bge-m3,SysG,SysG_v4_GodMode_gpt-4o_bge-m3,0.545,0.8820999999999999,2158.465836048126,0.6,0.5146022153128643,0.571875,0.12,0.5777569858986789,0.575,0.571875,0.06,0.5777569858986789,0.575,1577.59,532.4,100
gpt-4o,jina-embeddings-v3,SysG,SysG_v4_GodMode_gpt-4o_jina-embeddings-v3,0.677,0.8959999999999999,2235.675277709961,0.8,0.6881228070175439,0.746875,0.155,0.8536282531252131,0.75,0.746875,0.0775,0.8789638007848316,0.75,1568.23,535.57,100
gpt-4o-mini,bge-m3,SysA,SysA_Baseline_bge-m3_gpt-4o-mini,0.578,0.841,1273.6518573760986,0.55,0.5135416666666667,0.546875,0.11500000000000002,0.5501280030733999,0.55,0.546875,0.05750000000000001,0.5501280030733999,0.55,2834.53,521.45,100
gpt-4o-mini,bge-m3,SysC,SysC_Hybrid_FIXED_bge-m3_gpt-4o-mini,0.53,0.882,1065.8821249008179,0.5375,0.509375,0.540625,0.11750000000000001,0.5464445695605347,0.55,0.540625,0.058750000000000004,0.5508634750664813,0.55,1682.33,508.9,100
gpt-4o-mini,bge-m3,SysD,SysD_v5_FIXED_bge-m3_gpt-4o-mini,0.57,0.883,1006.3257169723511,0.5875,0.5510416666666667,0.590625,0.1275,0.6059678133998212,0.6,0.590625,0.06375,0.6103867189057677,0.6,1862.69,478.54,100
gpt-4o-mini,jina-embeddings-v3,SysA,SysA_Baseline_jina-embeddings-v3_gpt-4o-mini,0.655,0.8228,1503.2207942008972,0.6875,0.634375,0.696875,0.14500000000000002,0.7688108926979091,0.7,0.696875,0.07250000000000001,0.788419644807173,0.7,2909.78,522.25,100
gpt-4o-mini,jina-embeddings-v3,SysC,SysC_Hybrid_FIXED_jina-embeddings-v3_gpt-4o-mini,0.642,0.8115000000000001,1377.416934967041,0.675,0.6259615384615385,0.675,0.14250000000000002,0.7513924080057375,0.675,0.675,0.07125000000000001,0.7755776978531264,0.675,1739.06,516.31,100
gpt-4o-mini,jina-embeddings-v3,SysD,SysD_v5_FIXED_jina-embeddings-v3_gpt-4o-mini,0.63,0.8856,1130.9769535064697,0.725,0.6707532051282051,0.725,0.15250000000000002,0.8117821948691064,0.725,0.725,0.07625000000000001,0.8359674847164953,0.725,2040.94,476.67,100
gpt-4o-mini,openai-large,SysA,SysA_Baseline_openai-large_gpt-4o-mini,0.655,0.7859999999999999,1860.413522720337,0.7,0.6388095238095237,0.696875,0.14500000000000002,0.8649520199443488,0.7,0.7,0.07375000000000001,0.8976363326938047,0.7,2980.76,527.38,100
gpt-4o-mini,openai-large,SysC,SysC_Hybrid_FIXED_openai-large_gpt-4o-mini,0.6459999999999999,0.883,1355.7999634742737,0.6625,0.6453125,0.678125,0.15,0.8509625355258024,0.6875,0.684375,0.07625000000000001,0.8826998925349556,0.7,1795.2,515.56,100
gpt-4o-mini,openai-large,SysD,SysD_v5_FIXED_openai-large_gpt-4o-mini,0.655,0.8554999999999999,1129.9034786224365,0.75,0.6994791666666667,0.753125,0.165,0.94327593715621,0.7625,0.759375,0.08375,0.9750132941653634,0.775,2078.4,479.47,100
gpt-4o-mini,openai-small,SysA,SysA_Baseline_openai-small_gpt-4o-mini,0.649,0.799,1527.4215507507324,0.675,0.6095833333333334,0.634375,0.1325,0.8196618621532276,0.6375,0.675,0.07125000000000001,0.8562047400593433,0.675,2970.77,518.89,100
gpt-4o-mini,openai-small,SysC,SysC_Hybrid_FIXED_openai-small_gpt-4o-mini,0.65,0.871,1217.107470035553,0.65,0.5900000000000001,0.6125,0.13,0.7875065850618747,0.625,0.6625,0.07250000000000001,0.8253815946833083,0.675,1781.34,514.57,100
gpt-4o-mini,openai-small,SysD,SysD_v5_FIXED_openai-small_gpt-4o-mini,0.667,0.865,1006.3598799705505,0.7375,0.6566666666666666,0.6875,0.14500000000000002,0.8831154889915929,0.7,0.7375,0.08,0.9254430884518767,0.75,2063.78,477.45,100
gpt-4o-mini,openai-large,SysG,SysG_v4_GodMode_gpt-4o-mini_openai-large,0.698,0.8725,3278.1633377075195,0.7625,0.6830208333333333,0.721875,0.15,0.9624782087536541,0.725,0.75625,0.08,1.0013821572754806,0.7625,1587.85,545.49,100
gpt-4o-mini,openai-small,SysG,SysG_v4_GodMode_gpt-4o-mini_openai-small,0.657,0.8682,3205.1981353759766,0.7625,0.6578292332850744,0.696875,0.14500000000000002,0.8650552528096845,0.7,0.725,0.07625000000000001,0.9082930314387992,0.725,1593.5,547.16,100
gpt-4o-mini,bge-m3,SysG,SysG_v4_GodMode_gpt-4o-mini_bge-m3,0.57,0.8734999999999999,2803.106083869934,0.625,0.5238929649758454,0.596875,0.125,0.5983658898283971,0.6,0.596875,0.0625,0.5983658898283971,0.6,1622.24,546.98,100
gpt-4o-mini,jina-embeddings-v3,SysG,SysG_v4_GodMode_gpt-4o-mini_jina-embeddings-v3,0.669,0.8919,2952.941315174103,0.8125,0.6934208232146364,0.746875,0.155,0.8509028061714122,0.75,0.746875,0.0775,0.863284937622729,0.75,1605.19,546.05,100
llama3.1-70b-iq2_xs,bge-m3,SysA,SysA_Baseline_bge-m3_llama3.1-70b-iq2_xs,0.528,0.701,9031.661031246185,0.55,0.5135416666666667,0.546875,0.11500000000000002,0.5501280030733999,0.55,0.546875,0.05750000000000001,0.5501280030733999,0.55,2896.7,526.89,100
llama3.1-70b-iq2_xs,bge-m3,SysC,SysC_Hybrid_FIXED_bge-m3_llama3.1-70b-iq2_xs,0.56,0.871,5786.088902950287,0.5375,0.509375,0.540625,0.11750000000000001,0.5464445695605347,0.55,0.540625,0.058750000000000004,0.5508634750664813,0.55,1715.49,503.8,100
llama3.1-70b-iq2_xs,bge-m3,SysD,SysD_v5_FIXED_bge-m3_llama3.1-70b-iq2_xs,0.61,0.946,4924.787490367889,0.575,0.546875,0.578125,0.125,0.5918311914801779,0.5875,0.578125,0.0625,0.5962500969861245,0.5875,1901.23,475.36,100
llama3.1-70b-iq2_xs,jina-embeddings-v3,SysA,SysA_Baseline_jina-embeddings-v3_llama3.1-70b-iq2_xs,0.62,0.7070000000000001,9357.84795999527,0.6875,0.634375,0.696875,0.14500000000000002,0.7688108926979091,0.7,0.696875,0.07250000000000001,0.788419644807173,0.7,2975.68,525.51,100
llama3.1-70b-iq2_xs,jina-embeddings-v3,SysC,SysC_Hybrid_FIXED_jina-embeddings-v3_llama3.1-70b-iq2_xs,0.629,0.904,5673.46084356308,0.675,0.6259615384615385,0.675,0.14250000000000002,0.7513924080057375,0.675,0.675,0.07125000000000001,0.7755776978531264,0.675,1765.23,500.92,100
llama3.1-70b-iq2_xs,jina-embeddings-v3,SysD,SysD_v5_FIXED_jina-embeddings-v3_llama3.1-70b-iq2_xs,0.69,0.91,5518.684875965118,0.7125,0.6553365384615384,0.7,0.14750000000000002,0.7788955729494633,0.7,0.7125,0.075,0.8066941731258257,0.7125,2105.71,470.65,100
llama3.1-70b-iq2_xs,openai-large,SysA,SysA_Baseline_openai-large_llama3.1-70b-iq2_xs,0.619,0.655,10396.119513511658,0.7,0.6388095238095237,0.696875,0.14500000000000002,0.8649520199443488,0.7,0.7,0.07375000000000001,0.8974129769869597,0.7,3043.28,534.27,100
llama3.1-70b-iq2_xs,openai-large,SysC,SysC_Hybrid_FIXED_openai-large_llama3.1-70b-iq2_xs,0.66,0.9590000000000001,5554.555904865265,0.6625,0.6453125,0.678125,0.15,0.8509625355258024,0.6875,0.684375,0.07625000000000001,0.8824765368281107,0.7,1820.67,497.3,100
llama3.1-70b-iq2_xs,openai-large,SysD,SysD_v5_FIXED_openai-large_llama3.1-70b-iq2_xs,0.67,0.92,5046.876311302185,0.725,0.6953125,0.728125,0.16,0.9088491574454457,0.7375,0.734375,0.08125,0.9533724376267825,0.75,2079.49,470.13,100
llama3.1-70b-iq2_xs,openai-small,SysA,SysA_Baseline_openai-small_llama3.1-70b-iq2_xs,0.633,0.679,9235.912401676178,0.675,0.6095833333333334,0.634375,0.1325,0.8196618621532276,0.6375,0.675,0.07125000000000001,0.8562047400593433,0.675,3043.58,536.89,100
llama3.1-70b-iq2_xs,openai-small,SysC,SysC_Hybrid_FIXED_openai-small_llama3.1-70b-iq2_xs,0.635,0.903,5672.195432186127,0.65,0.5900000000000001,0.6125,0.13,0.7875065850618747,0.625,0.6625,0.07250000000000001,0.8253815946833083,0.675,1816.02,508.27,100
llama3.1-70b-iq2_xs,openai-small,SysD,SysD_v5_FIXED_openai-small_llama3.1-70b-iq2_xs,0.69,0.943,4432.57125377655,0.7125,0.6316666666666666,0.6625,0.14,0.8312565850618746,0.675,0.7125,0.0775,0.8735841845221584,0.725,2070.38,472.6,100
llama3.1-70b-iq2_xs,openai-large,SysG,SysG_v4_GodMode_llama3.1-70b-iq2_xs_openai-large,0.406,0.669,33167.32621908188,0.5375,0.4591082951247979,0.5125,0.11000000000000001,0.6703134043589507,0.5125,0.51875,0.05625,0.6890824015351911,0.525,4882.69,558.47,100
llama3.1-70b-iq2_xs,openai-small,SysG,SysG_v4_GodMode_llama3.1-70b-iq2_xs_openai-small,0.33299999999999996,0.6004999999999999,25990.547261238098,0.55,0.4442715266942795,0.475,0.10250000000000001,0.5894334361544094,0.475,0.5,0.053750000000000006,0.6213814000221668,0.5,5053.75,551.55,100
llama3.1-70b-iq2_xs,bge-m3,SysG,SysG_v4_GodMode_llama3.1-70b-iq2_xs_bge-m3,0.165,0.40299999999999997,22023.865897655487,0.2625,0.21468410326086956,0.221875,0.05,0.2405305535656157,0.225,0.25,0.028750000000000005,0.25467562711392355,0.25,4795.62,549.28,100
llama3.1-70b-iq2_xs,jina-embeddings-v3,SysG,SysG_v4_GodMode_llama3.1-70b-iq2_xs_jina-embeddings-v3,0.3,0.551,28427.570645809174,0.5125,0.3958897880829596,0.409375,0.0875,0.5161953635007039,0.4125,0.434375,0.04625,0.5452018995280012,0.4375,4906.21,564.8,100
qwen2.5:32b,bge-m3,SysA,SysA_Baseline_bge-m3_qwen2.5:32b,0.57,0.8775,7134.464032649994,0.55,0.5135416666666667,0.546875,0.11500000000000002,0.5501280030733999,0.55,0.546875,0.05750000000000001,0.5501280030733999,0.55,3127.48,528.2,100
qwen2.5:32b,bge-m3,SysC,SysC_Hybrid_FIXED_bge-m3_qwen2.5:32b,0.58,0.917,4671.955044269562,0.5375,0.509375,0.540625,0.11750000000000001,0.5464445695605347,0.55,0.540625,0.058750000000000004,0.5508634750664813,0.55,1853.97,511.48,100
qwen2.5:32b,bge-m3,SysD,SysD_v5_FIXED_bge-m3_qwen2.5:32b,0.605,0.9590000000000001,2933.8148880004883,0.6,0.553125,0.590625,0.1275,0.6059678133998212,0.6,0.603125,0.065,0.614839308744618,0.6125,1899.1,477.38,100
qwen2.5:32b,jina-embeddings-v3,SysA,SysA_Baseline_jina-embeddings-v3_qwen2.5:32b,0.6818181818181818,0.8464646464646465,7057.731486330129,0.6875,0.634375,0.696875,0.14500000000000002,0.7688108926979091,0.7,0.696875,0.07250000000000001,0.788419644807173,0.7,3207.7373737373737,524.2626262626262,100
qwen2.5:32b,jina-embeddings-v3,SysC,SysC_Hybrid_FIXED_jina-embeddings-v3_qwen2.5:32b,0.66,0.938,6762.3943972587585,0.675,0.6259615384615385,0.675,0.14250000000000002,0.7513924080057375,0.675,0.675,0.07125000000000001,0.7755776978531264,0.675,1913.65,506.63,100
qwen2.5:32b,jina-embeddings-v3,SysD,SysD_v5_FIXED_jina-embeddings-v3_qwen2.5:32b,0.685,0.889,4780.677828788757,0.7375,0.678392094017094,0.725,0.15250000000000002,0.8180321948691065,0.725,0.7375,0.0775,0.8459803596622951,0.7375,2173.18,477.69,100
qwen2.5:32b,openai-large,SysA,SysA_Baseline_openai-large_qwen2.5:32b,0.679,0.8420000000000001,7152.938437461853,0.7,0.6388095238095237,0.696875,0.14500000000000002,0.8649520199443488,0.7,0.7,0.07375000000000001,0.8976363326938047,0.7,3268.35,525.57,100
qwen2.5:32b,openai-large,SysC,SysC_Hybrid_FIXED_openai-large_qwen2.5:32b,0.65,0.892,4657.836632728577,0.6625,0.6453125,0.678125,0.15,0.8509625355258024,0.6875,0.684375,0.07625000000000001,0.8826998925349556,0.7,1967.11,510.27,100
qwen2.5:32b,openai-large,SysD,SysD_v5_FIXED_openai-large_qwen2.5:32b,0.7,0.884,3424.9510169029236,0.75,0.7026041666666667,0.740625,0.1625,0.9402249753269987,0.75,0.746875,0.0825,0.9719623323361519,0.7625,2222.35,477.11,100
qwen2.5:32b,openai-small,SysA,SysA_Baseline_openai-small_qwen2.5:32b,0.64,0.831,6390.494632720947,0.675,0.6095833333333334,0.634375,0.1325,0.8196618621532276,0.6375,0.675,0.07125000000000001,0.8562047400593433,0.675,3266.79,527.86,100
qwen2.5:32b,openai-small,SysC,SysC_Hybrid_FIXED_openai-small_qwen2.5:32b,0.635,0.877,4537.145862579346,0.65,0.5900000000000001,0.6125,0.13,0.7875065850618747,0.625,0.6625,0.07250000000000001,0.8253815946833083,0.675,1954.66,512.12,100
qwen2.5:32b,openai-small,SysD,SysD_v5_FIXED_openai-small_qwen2.5:32b,0.6779999999999999,0.8815000000000001,3010.184361934662,0.7375,0.645952380952381,0.675,0.14250000000000002,0.8632766639574353,0.6875,0.7375,0.08,0.9053183402455355,0.75,2106.68,478.03,100
qwen2.5:32b,openai-small,SysG,SysG_v4_GodMode_qwen2.5:32b_openai-small,0.597,0.86,19777.8985953331,0.7375,0.6514596861471862,0.696875,0.14500000000000002,0.8527775348197595,0.7,0.7125,0.075,0.8851978235178729,0.7125,4950.71,529.56,100
qwen2.5:32b,bge-m3,SysG,SysG_v4_GodMode_qwen2.5:32b_bge-m3,0.498,0.8454999999999999,20318.548171520233,0.5625,0.48655045621080817,0.534375,0.1125,0.5307337420593924,0.5375,0.546875,0.05750000000000001,0.5344966170051921,0.55,5040.52,527.27,100
qwen2.5:32b,jina-embeddings-v3,SysG,SysG_v4_GodMode_qwen2.5:32b_jina-embeddings-v3,0.575,0.8295,18429.49552297592,0.75,0.6062995021595383,0.659375,0.1375,0.7361465527883408,0.6625,0.659375,0.06875,0.7471360483920878,0.6625,4885.97,527.14,100
qwen2.5:32b,openai-large,SysG,SysG_v4_GodMode_qwen2.5:32b_openai-large,0.633,0.873,23487.730374336243,0.7125,0.6353710213182262,0.690625,0.14500000000000002,0.8953408261531133,0.7,0.69375,0.07375000000000001,0.9273354240095186,0.7,4925.85,528.01,100
qwen2.5:32b-instruct-q2_K,bge-m3,SysA,SysA_Baseline_bge-m3_qwen2.5:32b-instruct-q2_K,0.586,0.8240000000000001,3746.0910773277283,0.55,0.5135416666666667,0.546875,0.11500000000000002,0.5501280030733999,0.55,0.546875,0.05750000000000001,0.5501280030733999,0.55,3130.88,535.61,100
qwen2.5:32b-instruct-q2_K,bge-m3,SysC,SysC_Hybrid_FIXED_bge-m3_qwen2.5:32b-instruct-q2_K,0.58,0.905,2425.8095693588257,0.5375,0.509375,0.540625,0.11750000000000001,0.5464445695605347,0.55,0.540625,0.058750000000000004,0.5508634750664813,0.55,1859.23,517.58,100
qwen2.5:32b-instruct-q2_K,bge-m3,SysD,SysD_v5_FIXED_bge-m3_qwen2.5:32b-instruct-q2_K,0.58,0.922,2896.401147842407,0.5875,0.5510416666666667,0.590625,0.1275,0.6059678133998212,0.6,0.590625,0.06375,0.6103867189057677,0.6,1846.22,480.85,100
qwen2.5:32b-instruct-q2_K,jina-embeddings-v3,SysA,SysA_Baseline_jina-embeddings-v3_qwen2.5:32b-instruct-q2_K,0.642,0.8490000000000001,3816.987397670746,0.6875,0.634375,0.696875,0.14500000000000002,0.7688108926979091,0.7,0.696875,0.07250000000000001,0.788419644807173,0.7,3218.72,536.75,100
qwen2.5:32b-instruct-q2_K,jina-embeddings-v3,SysC,SysC_Hybrid_FIXED_jina-embeddings-v3_qwen2.5:32b-instruct-q2_K,0.6579999999999999,0.9159999999999999,2645.511689186096,0.675,0.6259615384615385,0.675,0.14250000000000002,0.7513924080057375,0.675,0.675,0.07125000000000001,0.7755776978531264,0.675,1922.35,519.33,100
qwen2.5:32b-instruct-q2_K,jina-embeddings-v3,SysD,SysD_v5_FIXED_jina-embeddings-v3_qwen2.5:32b-instruct-q2_K,0.68,0.925,3245.3631162643433,0.7375,0.6732532051282052,0.7375,0.155,0.8166178549595383,0.7375,0.7375,0.0775,0.8408031448069272,0.7375,2082.83,478.79,100
qwen2.5:32b-instruct-q2_K,openai-large,SysA,SysA_Baseline_openai-large_qwen2.5:32b-instruct-q2_K,0.65,0.8270000000000001,4339.693381786346,0.7,0.6388095238095237,0.696875,0.14500000000000002,0.8649520199443488,0.7,0.7,0.07375000000000001,0.8976363326938047,0.7,3275.84,537.82,100
qwen2.5:32b-instruct-q2_K,openai-large,SysC,SysC_Hybrid_FIXED_openai-large_qwen2.5:32b-instruct-q2_K,0.66,0.8942,2707.2196292877197,0.6625,0.6453125,0.678125,0.15,0.8509625355258024,0.6875,0.684375,0.07625000000000001,0.8826998925349556,0.7,1971.37,518.23,100
qwen2.5:32b-instruct-q2_K,openai-large,SysD,SysD_v5_FIXED_openai-large_qwen2.5:32b-instruct-q2_K,0.67,0.894,3282.5432467460632,0.75,0.7140625,0.753125,0.165,0.960389315236567,0.7625,0.759375,0.08375,0.9962933389123869,0.775,2074.85,478.28,100
qwen2.5:32b-instruct-q2_K,openai-small,SysA,SysA_Baseline_openai-small_qwen2.5:32b-instruct-q2_K,0.65,0.8035,3893.671576976776,0.675,0.6095833333333334,0.634375,0.1325,0.8196618621532276,0.6375,0.675,0.07125000000000001,0.8562047400593433,0.675,3272.41,532.53,100
qwen2.5:32b-instruct-q2_K,openai-small,SysC,SysC_Hybrid_FIXED_openai-small_qwen2.5:32b-instruct-q2_K,0.65,0.8998,2753.919837474823,0.65,0.5900000000000001,0.6125,0.13,0.7875065850618747,0.625,0.6625,0.07250000000000001,0.8253815946833083,0.675,1961.82,519.07,100
qwen2.5:32b-instruct-q2_K,openai-small,SysD,SysD_v5_FIXED_openai-small_qwen2.5:32b-instruct-q2_K,0.65,0.9279999999999999,3179.5429372787476,0.7375,0.6483333333333333,0.6875,0.14500000000000002,0.8768654889915929,0.7,0.7375,0.08,0.9147404986130263,0.75,1997.33,476.19,100
qwen2.5:32b-instruct-q2_K,openai-large,SysG,SysG_v4_GodMode_qwen2.5:32b-instruct-q2_K_openai-large,0.629,0.858,6511.356523036957,0.75,0.6611776280518289,0.696875,0.14500000000000002,0.9099682835123399,0.7,0.70625,0.075,0.9447364367646955,0.7125,4924.04,536.88,100
